SN,Method,Auc,f1-score,Accuracy:,mRMR,TOPSIS
1,AE + SVM - RBF,99.33,99,99.33,1.5,2
2,AE + SVM-POLY,99.33,99,99.33,1.5,2
3,AE + SVM-Sigmoid,91.95,93,92,8,8
4,AE  + SVM-Linear,98.32,99,98.46,6,6
5,AE + KNN,98.55,99,99.2,4.5,5
6,AE + DT,97.92,98,97.93,7,7
7,AE + NN,98.55,99,99.2,4.5,5
8,AE+RF,99.22,99,99.2,3,5
9,CNN,82.33,88,84.39,10,12
10,C + SVM-Sigmoid,73.77,79,74.73,16,16
11,C + SVM-RBF,81.97,88,84.66,11.5,11
12,C + SVM-Poly,81.97,88,84.66,11.5,11
13,C + SVM-Linear,82.57,88,85,9,9
14,C + RF,76.71,81,77.77,14.5,15
15,C + DT,76.71,81,77.77,14.5,15
16,C + KNN,80.5,86,77.73,13,13
