AUC,F-1 Score,Accuracy:,distance positive,distance negative,Topsis Score,Rank
90.12,95,92.27,6.955292948539261,25.417914942024648,0.7851528037613295,5
90.12,95,92.27,6.955292948539261,25.417914942024648,0.7851528037613295,5
65.15,80,71.75,32.37227363037697,0.0,0.0,16
75.37,88,82.52,18.95767918285358,13.416143261012083,0.414413320647412,7
92.67,96,93.72,5.193996534461681,27.178684662801473,0.839556183103524,3
83.37,90,86.34,14.697768538114886,17.68807790575336,0.5461669169712969,6
97.57,99,97.96,0.0,32.37227363037697,1.0,1
91.11,96,93.72,5.193996534461681,27.178684662801473,0.839556183103524,3
75.11,86,79.42,22.643577455870346,9.73801314437396,0.300726831630701,8
68.9,83,75.28,27.755763365470596,4.632591067642385,0.14303261615866933,12
73.92,86,79.33,22.717325987008238,9.667285037692846,0.2985147800700526,10
73.92,86,79.33,22.717325987008238,9.667285037692846,0.2985147800700526,10
73.96,86,79.28,22.758347918950523,9.62813065968675,0.29728859333406027,11
65.88,81,72.14,31.47494876882248,1.0733592129385205,0.03297741970304557,15
65.92,81,72.16,31.458544149403988,1.0807867504739301,0.0332147810229861,14
69.66,84,72.21,29.800377514387296,4.026363123216782,0.11902900035071089,13
