SN,Method,AUC,F-1 Score,Accuracy:,mRMR,TOPSIS
1,AE + SVM - RBF,90.12,95,92.27,4.5,5
2,AE + SVM-POLY,90.12,95,92.27,4.5,5
3,AE + SVM-Sigmoid,65.15,80,71.75,16,16
4,AE  + SVM-Linear,75.37,88,82.52,7,7
5,AE + KNN,92.67,96,93.72,2,3
6,AE + DT,83.37,90,86.34,6,6
7,AE + NN,97.57,99,97.96,1,1
8,AE+RF,91.11,96,93.72,3,3
9,CNN,75.11,86,79.42,8,8
10,C + SVM-Sigmoid,68.9,83,75.28,12,12
11,C + SVM-RBF,73.92,86,79.33,9.5,10
12,C + SVM-Poly,73.92,86,79.33,9.5,10
13,C + SVM-Linear,73.96,86,79.28,11,11
14,C + RF,65.88,81,72.14,15,15
15,C + DT,65.92,81,72.16,14,14
16,C + KNN,69.66,84,72.21,13,13
